Animal,subject.id,group,injury,housing_temp,sex,body.mass
1_1,3414,RT_Sham_Male,Sham,RT,Male,23.04571
1_2,3417,RT_SB_Male,SB,RT,Male,28.29252
1_3,3432,RT_SB_Female,SB,RT,Female,21.79859
1_4,3421,RT_LB_Male,LB,RT,Male,29.07722
1_5,3425,RT_Sham_Male,Sham,RT,Male,32.5086
1_6,3430,RT_Sham_Female,Sham,RT,Female,21.51427
1_7,3429,RT_LB_Female,LB,RT,Female,22.43283
1_8,3441,RT_SB_Female,SB,RT,Female,22.16795
1_9,3442,RT_SB_Female,SB,RT,Female,39.99157
1_10,3422,RT_LB_Male,LB,RT,Male,28.67395
1_11,3431,RT_Sham_Female,Sham,RT,Female,21.79108
1_12,3418,RT_SB_Male,SB,RT,Male,28.65293
1_13,3424,RT_SB_Male,SB,RT,Male,30.01036
1_14,3434,RT_Sham_Female,Sham,RT,Female,21.38306
1_15,3439,RT_LB_Female,LB,RT,Female,21.44538
1_16,3427,RT_Sham_Male,Sham,RT,Male,30.15432
2_1,3415,TN_Sham_Male,Sham,TN,Male,32.4545
2_2,3433,TN_Sham_Female,Sham,TN,Female,23.45788
2_3,3412,TN_SB_Male,SB,TN,Male,31.86007
2_4,3437,TN_Sham_Female,Sham,TN,Female,20.59139
2_5,3413,TN_SB_Male,SB,TN,Male,31.39857
2_6,3435,TN_SB_Female,SB,TN,Female,18.93795
2_7,3436,TN_SB_Female,SB,TN,Female,22.11374
2_8,3416,TN_LB_Male,LB,TN,Male,29.24159
2_9,3443,TN_SB_Female,SB,TN,Female,21.35153
2_10,3428,TN_LB_Female,LB,TN,Female,21.84274
2_11,3420,TN_Sham_Male,Sham,TN,Male,32.0041
2_12,3440,TN_LB_Female,LB,TN,Female,22.52348
2_13,3423,TN_SB_Male,SB,TN,Male,32.82154
2_14,3419,TN_LB_Male,LB,TN,Male,29.5027
2_15,3438,TN_Sham_Female,Sham,TN,Female,22.1511
2_16,3426,TN_Sham_Male,Sham,TN,Male,30.80309